Country,GlobalInnovationIndex
Albania,28
Algeria,19.9
Angola,15
Argentina,29.8
Armenia,31.4
Australia,48.3
Austria,50.9
Azerbaijan,28.4
Bahrain,28.8
Bangladesh,20.2
Belarus,32.6
Belgium,49.2
Benin,18
Bolivia (Plurinational State of),23.4
Bosnia and Herzegovina,29.6
Botswana,22.9
Brazil,34.2
Brunei Darussalam,28.2
Bulgaria,42.4
Burkina Faso,20.5
Cabo Verde,25.7
Cambodia,22.8
Cameroon,19.7
Canada,53.1
Chile,35.1
China,54.8
Colombia,31.7
Costa Rica,34.5
Cote dIvoire,21
Croatia,37.3
Cyprus,46.7
Czech Republic,49
Denmark,57.3
Dominican Republic,25.1
Ecuador,25.4
Egypt,25.1
El Salvador,25
Estonia,49.9
Ethiopia,18.6
Finland,58.4
France,55
Georgia,32.4
Germany,57.3
Ghana,22.3
Greece,36.3
Guatemala,24.1
Guinea,16.7
Honduras,22.8
Hong Kong,53.7
Hungary,42.7
Iceland,51.8
India,36.4
Indonesia,27.1
Iran (Islamic Republic of),32.9
Ireland,50.7
Israel,53.4
Italy,45.7
Jamaica,29.6
Japan,54.5
Jordan,28.3
Kazakhstan,28.6
Kenya,27.5
Kuwait,29.9
Kyrgyzstan,24.5
Lao People's Democratic Republic,20.2
Latvia,40
Lebanon,25.1
Lithuania,39.9
Luxembourg,49
Madagascar,22.5
Malawi,22.9
Malaysia,41.9
Mali,19.5
Malta,47.1
Mauritius,35.2
Mexico,34.5
Mongolia,34.2
Montenegro,35.4
Morocco,29.3
Mozambique,19.7
Myanmar,18.4
Namibia,24.3
Nepal,22.5
Netherlands,58.6
New Zealand,47.5
Niger,17.8
Nigeria,20.1
North Macedonia,34.1
Norway,50.4
Oman,29.4
Pakistan,24.4
Panama,28
Paraguay,26.4
Peru,31.2
Philippines,35.3
Poland,39.9
Portugal,44.2
Qatar,31.5
Republic of Korea,59.3
Republic of Moldova,32.3
Romania,35.6
Russian Federation,36.6
Rwanda,23.9
Saudi Arabia,31.8
Senegal,23.3
Serbia,35
Singapore,57.8
Slovakia,40.2
Slovenia,44.1
South Africa,32.7
Spain,45.4
Sri Lanka,25.1
Sweden,63.1
Switzerland,65.5
Tajikistan,23.9
Thailand,37.2
Togo,19.3
Trinidad and Tobago,24.8
Tunisia,30.7
Turkey,38.3
Uganda,20
Ukraine,35.6
United Arab Emirates,43
United Kingdom,59.8
United Republic of Tanzania,25.6
United States of America,61.3
Uruguay,32.2
Uzbekistan,27.4
Viet Nam,37
Yemen,15.4
Zambia,19.8
Zimbabwe,21.9
