ID,Country,GlobalInnovationIndex
1,Albania,28
2,Algeria,19.9
3,Angola,15
4,Argentina,29.8
5,Armenia,31.4
6,Australia,48.3
7,Austria,50.9
8,Azerbaijan,28.4
9,Bahrain,28.8
10,Bangladesh,20.2
11,Belarus,32.6
12,Belgium,49.2
13,Benin,18
14,Bolivia (Plurinational State of),23.4
15,Bosnia and Herzegovina,29.6
16,Botswana,22.9
17,Brazil,34.2
18,Brunei Darussalam,28.2
19,Bulgaria,42.4
20,Burkina Faso,20.5
21,Cabo Verde,25.7
22,Cambodia,22.8
23,Cameroon,19.7
24,Canada,53.1
25,Chile,35.1
26,China,54.8
27,Colombia,31.7
28,Costa Rica,34.5
29,Cote dIvoire,21
30,Croatia,37.3
31,Cyprus,46.7
32,Czech Republic,49
33,Denmark,57.3
34,Dominican Republic,25.1
35,Ecuador,25.4
36,Egypt,25.1
37,El Salvador,25
38,Estonia,49.9
39,Ethiopia,18.6
40,Finland,58.4
41,France,55
42,Georgia,32.4
43,Germany,57.3
44,Ghana,22.3
45,Greece,36.3
46,Guatemala,24.1
47,Guinea,16.7
48,Honduras,22.8
49,Hong Kong,53.7
50,Hungary,42.7
51,Iceland,51.8
52,India,36.4
53,Indonesia,27.1
54,Iran (Islamic Republic of),32.9
55,Ireland,50.7
56,Israel,53.4
57,Italy,45.7
58,Jamaica,29.6
59,Japan,54.5
60,Jordan,28.3
61,Kazakhstan,28.6
62,Kenya,27.5
63,Kuwait,29.9
64,Kyrgyzstan,24.5
65,Lao People's Democratic Republic,20.2
66,Latvia,40
67,Lebanon,25.1
68,Lithuania,39.9
69,Luxembourg,49
70,Madagascar,22.5
71,Malawi,22.9
72,Malaysia,41.9
73,Mali,19.5
74,Malta,47.1
75,Mauritius,35.2
76,Mexico,34.5
77,Mongolia,34.2
78,Montenegro,35.4
79,Morocco,29.3
80,Mozambique,19.7
81,Myanmar,18.4
82,Namibia,24.3
83,Nepal,22.5
84,Netherlands,58.6
85,New Zealand,47.5
86,Niger,17.8
87,Nigeria,20.1
88,North Macedonia,34.1
89,Norway,50.4
90,Oman,29.4
91,Pakistan,24.4
92,Panama,28
93,Paraguay,26.4
94,Peru,31.2
95,Philippines,35.3
96,Poland,39.9
97,Portugal,44.2
98,Qatar,31.5
99,Republic of Korea,59.3
100,Republic of Moldova,32.3
101,Romania,35.6
102,Russian Federation,36.6
103,Rwanda,23.9
104,Saudi Arabia,31.8
105,Senegal,23.3
106,Serbia,35
107,Singapore,57.8
108,Slovakia,40.2
109,Slovenia,44.1
110,South Africa,32.7
111,Spain,45.4
112,Sri Lanka,25.1
113,Sweden,63.1
114,Switzerland,65.5
115,Tajikistan,23.9
116,Thailand,37.2
117,Togo,19.3
118,Trinidad and Tobago,24.8
119,Tunisia,30.7
120,Turkey,38.3
121,Uganda,20
122,Ukraine,35.6
123,United Arab Emirates,43
124,United Kingdom,59.8
125,United Republic of Tanzania,25.6
126,United States of America,61.3
127,Uruguay,32.2
128,Uzbekistan,27.4
129,Viet Nam,37
130,Yemen,15.4
131,Zambia,19.8
132,Zimbabwe,21.9
