Period,Temp,PPI,
Jan-18,32.16,231.700,
Feb-18,35.51,232.900,
Mar-18,42.73,234.500,
Apr-18,49.03,233.700,
May-18,65.52,234.800,
Jun-18,71.55,236.200,
Jul-18,75.45,234.700,
Aug-18,73.51,234.800,
Sep-18,67.53,233.800,
Oct-18,53.71,234.900,
Nov-18,40.01,235.000,
Dec-18,35.51,234.600,
Jan-19,32.56,234.400,
Feb-19,31.84,235.700,
Mar-19,40.28,235.900,
Apr-19,52.84,238.800,
May-19,59.49,238.900,
Jun-19,68.72,240.900,
Jul-19,74.62,240.600,
Aug-19,73.74,240.100,
Sep-19,68.43,242.300,
Oct-19,52.05,239.100,
Nov-19,41.11,240.900,
Dec-19,36.43,239.000,
Jan-20,35.53,238.400,
Feb-20,36.16,238.700,
Mar-20,46.06,239.000,
Apr-20,50.86,240.100,
May-20,60.89,238.200,
Jun-20,70.27,238.400,
Jul-20,75.65,239.500,
Aug-20,74.7,238.100,
Sep-20,65.91,238.400,
Oct-20,54.28,237.400,
Nov-20,46.33,237.800,
Dec-20,35.71,236.500,
