,Month,Average Viewers,Average Players,Game
0,Dec-21,61100.0,546614.2,CSGO
1,Nov-21,111000.0,548161.7,CSGO
2,Oct-21,94400.0,512435.8,CSGO
3,Sep-21,85400.0,512350.9,CSGO
4,Aug-21,67000.0,512082.0,CSGO
5,Jul-21,78700.0,506067.4,CSGO
6,Jun-21,77000.0,549347.1,CSGO
7,May-21,102000.0,659888.9,CSGO
8,Apr-21,97300.0,723346.5,CSGO
9,Mar-21,97200.0,740927.8,CSGO
10,Feb-21,101000.0,741013.2,CSGO
11,Jan-21,81900.0,743209.7,CSGO
12,Dec-20,81500.0,717803.8,CSGO
13,Nov-20,84500.0,668754.6,CSGO
14,Oct-20,78700.0,613666.7,CSGO
15,Sep-20,74400.0,606850.3,CSGO
16,Aug-20,64800.0,639957.7,CSGO
17,Jul-20,56400.0,625900.8,CSGO
18,Jun-20,106000.0,671647.5,CSGO
19,May-20,103000.0,768795.3,CSGO
20,Apr-20,121000.0,857604.2,CSGO
21,Mar-20,90000.0,671033.3,CSGO
22,Feb-20,71600.0,543979.2,CSGO
23,Jan-20,45500.0,501196.0,CSGO
24,Dec-19,54400.0,456701.6,CSGO
25,Nov-19,49500.0,426080.8,CSGO
26,Oct-19,60400.0,408995.3,CSGO
27,Sep-19,63800.0,410925.6,CSGO
28,Aug-19,62000.0,415097.3,CSGO
29,Jul-19,54700.0,393782.8,CSGO
30,Jun-19,41900.0,389376.7,CSGO
31,May-19,39900.0,364417.3,CSGO
32,Apr-19,42700.0,351989.9,CSGO
33,Mar-19,47700.0,390240.2,CSGO
34,Feb-19,70500.0,371359.0,CSGO
35,Jan-19,41300.0,401366.9,CSGO
36,,,,CSGO
37,,,,CSGO
