,Month,Average Viewers,Average Players,Game
0,Dec-21,9400.0,75604.1,Dead by Daylight
1,Nov-21,13000.0,69650.1,Dead by Daylight
2,Oct-21,7600.0,65557.0,Dead by Daylight
3,Sep-21,22400.0,69503.0,Dead by Daylight
4,Aug-21,11000.0,83332.2,Dead by Daylight
5,Jul-21,39800.0,92823.8,Dead by Daylight
6,Jun-21,10500.0,79341.5,Dead by Daylight
7,May-21,22800.0,76870.6,Dead by Daylight
8,Apr-21,17800.0,77590.3,Dead by Daylight
9,Mar-21,27100.0,86369.8,Dead by Daylight
10,Feb-21,65900.0,117742.3,Dead by Daylight
11,Jan-21,256000.0,142117.3,Dead by Daylight
12,Dec-20,25700.0,61171.7,Dead by Daylight
13,Nov-20,8800.0,55408.0,Dead by Daylight
14,Oct-20,4300.0,48550.8,Dead by Daylight
15,Sep-20,4600.0,46430.5,Dead by Daylight
16,Aug-20,5900.0,53287.7,Dead by Daylight
17,Jul-20,6600.0,58238.7,Dead by Daylight
18,Jun-20,6000.0,50417.7,Dead by Daylight
19,May-20,5300.0,57344.7,Dead by Daylight
20,Apr-20,5200.0,67504.1,Dead by Daylight
21,Mar-20,6700.0,58442.0,Dead by Daylight
22,Feb-20,6900.0,50075.2,Dead by Daylight
23,Jan-20,3800.0,51620.4,Dead by Daylight
24,Dec-19,3700.0,49094.8,Dead by Daylight
25,Nov-19,3200.0,43508.0,Dead by Daylight
26,Oct-19,3000.0,46704.4,Dead by Daylight
27,Sep-19,3100.0,49636.1,Dead by Daylight
28,Aug-19,7500.0,58531.2,Dead by Daylight
29,Jul-19,5900.0,62260.0,Dead by Daylight
30,Jun-19,2900.0,45132.6,Dead by Daylight
31,May-19,2800.0,35780.7,Dead by Daylight
32,Apr-19,2600.0,38200.8,Dead by Daylight
33,Mar-19,3100.0,40725.3,Dead by Daylight
34,Feb-19,2200.0,42431.4,Dead by Daylight
35,Jan-19,2800.0,46201.3,Dead by Daylight
36,,,,Dead by Daylight
