,Month,Average Viewers,Average Players,Game
0,Dec-21,58100.0,449297.4,DOTA2
1,Nov-21,51500.0,448860.5,DOTA2
2,Oct-21,133000.0,450761.4,DOTA2
3,Sep-21,48300.0,391082.1,DOTA2
4,Aug-21,57400.0,424980.2,DOTA2
5,Jul-21,57100.0,423156.2,DOTA2
6,Jun-21,86500.0,421510.0,DOTA2
7,May-21,65400.0,415145.0,DOTA2
8,Apr-21,69100.0,413785.0,DOTA2
9,Mar-21,53700.0,390412.8,DOTA2
10,Feb-21,57900.0,404832.1,DOTA2
11,Jan-21,53200.0,432671.7,DOTA2
12,Dec-20,57700.0,422552.3,DOTA2
13,Nov-20,56900.0,425904.8,DOTA2
14,Oct-20,45100.0,406361.4,DOTA2
15,Sep-20,52900.0,408609.8,DOTA2
16,Aug-20,51400.0,429717.1,DOTA2
17,Jul-20,48300.0,450214.0,DOTA2
18,Jun-20,57200.0,457184.4,DOTA2
19,May-20,68800.0,484189.0,DOTA2
20,Apr-20,75700.0,493300.3,DOTA2
21,Mar-20,56300.0,437147.4,DOTA2
22,Feb-20,50400.0,405978.7,DOTA2
23,Jan-20,59300.0,378925.4,DOTA2
24,Dec-19,46000.0,384179.8,DOTA2
25,Nov-19,48400.0,401931.8,DOTA2
26,Oct-19,40400.0,388355.9,DOTA2
27,Sep-19,35900.0,421971.2,DOTA2
28,Aug-19,95300.0,467148.3,DOTA2
29,Jul-19,55100.0,464787.6,DOTA2
30,Jun-19,59700.0,507528.4,DOTA2
31,May-19,62800.0,548523.2,DOTA2
32,Apr-19,41000.0,520219.0,DOTA2
33,Mar-19,67500.0,586505.8,DOTA2
34,Feb-19,74900.0,564909.7,DOTA2
35,Jan-19,62500.0,475747.0,DOTA2
36,,,,DOTA2
37,,,,DOTA2
38,,,,DOTA2
39,,,,DOTA2
