,Game,Watch time,Platform
1,League of Legends,93212191920,riot launcher
2,Fortnite,64013571240,epic games launcher
3,Grand Theft Auto V,49453644120,steam
4,VALORANT,48882166380,riot launcher
5,Call of Duty: Warzone,48682842480,games console
6,Counter-Strike: Global Offensive,42824974860,steam
7,Minecraft,30645919800,minecraft launcher
8,Dota 2,29829080100,steam
9,World of Warcraft,27233166540,battlenet launcher
10,Among Us,25179134640,steam
11,Escape from Tarkov,23946123060,tarkov launcher
12,Apex Legends,19203037200,origin launcher
13,Hearthstone,16949634600,battlenet launcher
15,Dead by Daylight,11999107680,steam
16,FIFA 20,10800528720,games console
17,Fall Guys: Ultimate Knockout,10639038660,steam
18,Overwatch,10250580540,battlenet launcher
19,Teamfight Tactics,9951527580,riot launcher
20,PUBG: BATTLEGROUNDS,9394504200,steam
21,FIFA 21,9367150260,games console
23,Tom Clancy's Rainbow Six Siege,8840256900,steam
24,Rocket League,8398644600,steam
25,Path of Exile,6576335280,steam
26,Destiny 2,6076798740,steam
29,Call of Duty: Black Ops Cold War,4975029660,battlenet launcher
30,Animal Crossing: New Horizons,4974352320,games console
31,Phasmophobia,4539153660,steam
32,Garena Free Fire,4490022300,mobile
35,Old School RuneScape,4216055640,runescape launcher
36,Rust,3957699540,steam
