,Month,Average Viewers,Average Players,Game
0,Dec-21,9400,75604.1,Rust
1,Nov-21,13000,69650.1,Rust
2,Oct-21,7600,65557.0,Rust
3,Sep-21,22400,69503.0,Rust
4,Aug-21,11000,83332.2,Rust
5,Jul-21,39800,92823.8,Rust
6,Jun-21,10500,79341.5,Rust
7,May-21,22800,76870.6,Rust
8,Apr-21,17800,77590.3,Rust
9,Mar-21,27100,86369.8,Rust
10,Feb-21,65900,117742.3,Rust
11,Dec-20,25700,61171.7,Rust
12,Nov-20,8800,55408.0,Rust
13,Oct-20,4300,48550.8,Rust
14,Sep-20,4600,46430.5,Rust
15,Aug-20,5900,53287.7,Rust
16,Jul-20,6600,58238.7,Rust
17,Jun-20,6000,50417.7,Rust
18,May-20,5300,57344.7,Rust
19,Apr-20,5200,67504.1,Rust
20,Mar-20,6700,58442.0,Rust
21,Feb-20,6900,50075.2,Rust
22,Jan-20,3800,51620.4,Rust
23,Dec-19,3700,49094.8,Rust
24,Nov-19,3200,43508.0,Rust
25,Oct-19,3000,46704.4,Rust
26,Sep-19,3100,49636.1,Rust
27,Aug-19,7500,58531.2,Rust
28,Jul-19,5900,62260.0,Rust
29,Jun-19,2900,45132.6,Rust
30,May-19,2800,35780.7,Rust
31,Apr-19,2600,38200.8,Rust
32,Mar-19,3100,40725.3,Rust
33,Feb-19,2200,42431.4,Rust
34,Jan-19,2800,46201.3,Rust
