,Time,Average Players,month,year
71,January 2016,63.91,January,2016
70,February 2016,33.59,February,2016
69,March 2016,17.91,March,2016
68,April 2016,16.40,April,2016
67,May 2016,44.95,May,2016
66,June 2016,304.26,June,2016
65,July 2016,333.43,July,2016
64,August 2016,454.14,August,2016
63,September 2016,258.09,September,2016
62,October 2016,91.82,October,2016
61,November 2016,73.71,November,2016
60,December 2016,174.22,December,2016
59,January 2017,98.88,January,2017
58,February 2017,63.58,February,2017
57,March 2017,256.15,March,2017
56,April 2017,89.99,April,2017
55,May 2017,76.95,May,2017
54,June 2017,99.91,June,2017
53,July 2017,120.87,July,2017
52,August 2017,95.42,August,2017
51,September 2017,188.44,September,2017
50,October 2017,126.01,October,2017
49,November 2017,99.64,November,2017
48,December 2017,134.94,December,2017
47,January 2018,191.88,January,2018
46,February 2018,376.28,February,2018
45,March 2018,282.96,March,2018
44,April 2018,335.57,April,2018
43,May 2018,239.86,May,2018
42,June 2018,157.30,June,2018
41,July 2018,142.01,July,2018
40,August 2018,101.45,August,2018
39,September 2018,109.87,September,2018
38,October 2018,96.03,October,2018
37,November 2018,110.34,November,2018
36,December 2018,117.94,December,2018
35,January 2019,113.91,January,2019
34,February 2019,144.90,February,2019
33,March 2019,168.64,March,2019
32,April 2019,135.35,April,2019
31,May 2019,178.80,May,2019
30,June 2019,370.75,June,2019
29,July 2019,394.77,July,2019
28,August 2019,199.04,August,2019
27,September 2019,136.03,September,2019
26,October 2019,140.94,October,2019
25,November 2019,125.02,November,2019
24,December 2019,151.53,December,2019
23,January 2020,134.94,January,2020
22,February 2020,878.94,February,2020
21,March 2020,472.51,March,2020
20,April 2020,549.40,April,2020
19,May 2020,390.90,May,2020
18,June 2020,313.53,June,2020
17,July 2020,368.49,July,2020
16,August 2020,304.32,August,2020
15,September 2020,509.36,September,2020
14,October 2020,422.06,October,2020
13,November 2020,259.12,November,2020
12,December 2020,229.12,December,2020
11,January 2021,227.78,January,2021
10,February 2021,232.02,February,2021
9,March 2021,279.23,March,2021
8,April 2021,239.29,April,2021
7,May 2021,311.35,May,2021
6,June 2021,540.29,June,2021
5,July 2021,642.11,July,2021
4,August 2021,305.20,August,2021
3,September 2021,273.68,September,2021
2,October 2021,354.86,October,2021
1,November 2021,304.99,November,2021
0,December 2021,314.22,December,2021
