,Month,Average Viewers,Average Players,Game
0,Dec-21,7500,20322.5,Project Zomboid
1,Nov-21,712,4958.7,Project Zomboid
2,Oct-21,1000,4705.8,Project Zomboid
3,Sep-21,8400,5157.6,Project Zomboid
4,Aug-21,8600,5131.5,Project Zomboid
5,Jul-21,1500,3576.2,Project Zomboid
6,Jun-21,1000,3419.8,Project Zomboid
7,May-21,1800,4151.6,Project Zomboid
8,Apr-21,2700,3952.3,Project Zomboid
9,Mar-21,2600,2065.3,Project Zomboid
10,Feb-21,684,1793.0,Project Zomboid
11,Jan-21,419,2044.6,Project Zomboid
12,Dec-20,141,1944.5,Project Zomboid
13,Nov-20,390,2756.0,Project Zomboid
14,Oct-20,114,1675.0,Project Zomboid
15,Sep-20,128,1226.2,Project Zomboid
16,Aug-20,136,1232.1,Project Zomboid
17,Jul-20,181,1177.9,Project Zomboid
18,Jun-20,70,1027.8,Project Zomboid
19,May-20,216,1232.5,Project Zomboid
20,Apr-20,68,1302.8,Project Zomboid
21,Mar-20,137,1182.5,Project Zomboid
22,Feb-20,110,1073.4,Project Zomboid
23,Jan-20,109,1211.3,Project Zomboid
24,Dec-19,105,1564.2,Project Zomboid
25,Nov-19,135,1616.8,Project Zomboid
26,Oct-19,72,1132.2,Project Zomboid
27,Sep-19,21,658.7,Project Zomboid
28,Aug-19,21,851.5,Project Zomboid
29,Jul-19,36,867.8,Project Zomboid
30,Jun-19,67,728.6,Project Zomboid
31,May-19,252,888.8,Project Zomboid
32,Apr-19,26,753.9,Project Zomboid
33,Mar-19,68,865.0,Project Zomboid
34,Feb-19,46,631.2,Project Zomboid
35,Jan-19,71,749.3,Project Zomboid
